block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
s-block,Be-O,O,BeO_1244963_POSCAR,-0.1860028929290254,15.530404169,-0.39318717210286,-0.2071842791738345,13.0255002708,24.5480582026,35,local_max_drop,mp-1244963,BeO,Triclinic,P1,1,0.289117839399999,-2.813737963100001,False,4.7618,False,2.501733582891131,100,830.0785769339714,8.300785769339713,245.51169596685736,0.2957692232869017,29.57692232869017
s-block,Be-O,O,BeO_1245060_POSCAR,-0.1682507219686706,14.2334907824,-0.35205329849016,-0.1838025765214893,11.9377664627,22.4980983335,35,local_max_drop,mp-1245060,BeO,Triclinic,P1,1,0.3269340063,-2.7759217962,False,4.2425,False,2.283228028698272,100,909.5173251643372,9.095173251643372,245.51169596685736,0.26993624989221265,26.993624989221267
s-block,Ca-O,O,CaO_1245305_POSCAR,-0.5807133744221771,18.7024090997,-0.82410303674277,-0.2433896623205929,16.2891950223,29.561872448,35,local_max_drop,mp-1245305,CaO,Triclinic,P1,1,0.295378315899998,-3.0106410766,False,2.4659,False,2.815611340595657,100,1653.6144763158677,16.536144763158678,1202.030316810242,0.7269108574135598,72.69108574135598
s-block,Ca-O,O,CaO_1244902_POSCAR,-0.5773212139919615,17.6113245123,-0.8193076475388,-0.2419864335468385,15.338895543,27.8372548743,35,local_max_drop,mp-1244902,CaO,Triclinic,P1,1,0.311101841399999,-2.9949175511,False,2.1384,False,2.810222594042136,100,1656.78536711108,16.5678536711108,1202.030316810242,0.725519636201405,72.5519636201405
s-block,Ca-O,O,CaO_1245200_POSCAR,-0.5674162536959577,17.4049519549,-0.81186024517331,-0.2444439914773523,15.1591517027,27.5110530901,35,local_max_drop,mp-1245200,CaO,Triclinic,P1,1,0.341503199599999,-2.9645161929,False,1.997399999999999,False,2.786404185829366,100,1670.9477029363848,16.709477029363846,1202.030316810242,0.719370399622857,71.9370399622857
s-block,Ca-O,O,Ca2O3_1120811_POSCAR,-0.1641206222546675,13.027494002,-0.24638612284546,-0.0822655005907924,11.2904948017,21.2782402033,35,local_max_drop,mp-1120811,Ca2O3,Triclinic,P1,1,0.2142064745,-2.4321373745,False,0.196899999999999,False,2.62521308091353,40,648.496100381148,16.2124025095287,394.28378480899863,0.6079971561544653,60.79971561544652
s-block,Cs-O,O,Cs11O3_562001_POSCAR,-0.2715798527919763,16.3621045,-0.36288829820123,-0.0913084454092536,13.5571723,22.9069463,35,local_max_drop,mp-562001,Cs11O3,Monoclinic,P2_1/c,14,0.005618911656402,-0.7818787620504931,False,0.0,True,2.512526068644122,56,3991.750872676983,71.28126558351755,2691.8357482994816,0.6743496360769275,67.43496360769275
s-block,Cs-O,O,Cs4O3_1105918_POSCAR,-0.0872029372484147,13.6927172216,-0.11306912008701,-0.0258661828385952,12.171304197,18.6373095516,35,local_max_drop,mp-1105918,Cs4O3,Cubic,I-43d,220,0.135815927142856,-1.069560221945813,False,0.0,True,4.760627108002041,14,404.350789662651,28.882199261617927,494.02276678227287,1.2217677803830556,122.17677803830556
s-block,Cs-O,O,Cs2O3_1213719_POSCAR,-0.085361462331539,13.7217051386,-0.11798874306989,-0.0326272807383509,12.5109664499,19.7753985821,35,local_max_drop,mp-1213719,Cs2O3,Cubic,I-43d,220,0.072772280499998,-1.023226469362069,False,0.0,True,4.315093894537169,20,483.04142496075286,24.152071248037643,501.2483293545644,1.0376922215217688,103.76922215217688
s-block,Cs-O,O,Cs2O_755573_POSCAR,-0.0811203149898054,13.04106662,-0.10476859883514,-0.0236482838453346,11.98368284,17.27060174,35,local_max_drop,mp-755573,Cs2O,Orthorhombic,Pnma,62,0.056972324166667,-1.123274220603449,False,1.9227,False,5.061684602196915,12,369.80338018469797,30.816948348724832,491.61424592484235,1.3293935974281956,132.93935974281956
s-block,Cs-O,O,Cs7O_561735_POSCAR,-0.0428886752085408,21.688850521,-0.147493495131,-0.1046048199224591,25.025596755,40.8751413665,35,local_max_drop,mp-561735,Cs7O,Hexagonal,P-6m2,187,0.010467804755746,-0.448905838239943,False,0.0,True,2.097981564019763,24,2247.0604911087016,93.62752046286256,1281.4554423373463,0.5702807945793551,57.02807945793551
s-block,Cs-S,S,Cs2S_540703_POSCAR,-0.0822822675601371,9.4318392,-0.10968222516296,-0.0273999576028228,8.35391472,13.20457488,35,local_max_drop,mp-540703,Cs2S,Orthorhombic,Pnma,62,0.0,-1.192438348437498,True,2.0952,False,4.026382662216831,12,491.3935080242464,40.94945900202053,506.19339725324465,1.0301182025959286,103.01182025959285
s-block,Cs-S,S,Cs2S5_1193140_POSCAR,-0.0596028647838611,11.010901568,-0.12202010021021,-0.0624172354263488,9.978629546,16.860443026,35,local_max_drop,mp-1193140,Cs2S5,Orthorhombic,P2_12_12_1,19,0.0,-0.743681253794641,True,1.8661999999999992,False,3.046112503708791,28,929.2044401895766,33.18587286391345,583.7781694262981,0.6282558973859352,62.82558973859352
