block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
s-block,K-Be-O,K,Be,O,K4Be3O5_28158_POSCAR,-0.1066606578102634,10.1532093031,-0.16856466768244,-0.0619040098721765,8.9928425256,14.2144930243,35,local_max_drop,mp-28158,K4Be3O5,Monoclinic,C2/c,15,0.0,-2.301597747416666,True,3.2088,False,2.486656674499181,24,351.8221128984704,14.659254704102933,314.6065946425286,0.8942206390913197,89.42206390913196
s-block,K-Be-O,K,Be,O,K2BeO2_27915_POSCAR,-0.1003254573428102,10.0332665125,-0.15101924775515,-0.0506937904123397,9.17327224,14.0465731175,35,local_max_drop,mp-27915,K2BeO2,Monoclinic,P2_1/c,14,0.0,-2.1003341254,True,2.9234,False,2.48597272935165,20,318.50525911949944,15.925262955974972,304.7861268038543,0.956926512442616,95.6926512442616
s-block,K-Be-O,K,Be,O,K2Be2O3_754587_POSCAR,-0.0602922974007852,13.1004768,-0.090892939859918,-0.0306006424591327,11.4629172,20.0601051,35,local_max_drop,mp-754587,K2Be2O3,Monoclinic,P2_1/c,14,0.036247833928569,-2.3798153499285712,False,3.2855,False,2.023637446228528,14,236.6842504142422,16.906017886731586,162.21353124060144,0.6853583665017722,68.53583665017722
s-block,K-Mg-O,K,Mg,O,K6MgO4_12171_POSCAR,-0.1466220743174632,15.631081494,-0.20426957051264,-0.0576474961951767,13.941234846,20.700621438,35,local_max_drop,mp-12171,K6MgO4,Hexagonal,P6_3mc,186,0.0,-1.5719714466818182,True,1.6783,False,2.634295751358229,22,407.0730815053945,18.50332188660884,453.61051688049207,1.1143220652247448,111.43220652247447
s-block,K-Mg-O,K,Mg,O,K2Mg2O3_769025_POSCAR,-0.138601958086602,10.903283914,-0.22783784640223,-0.089235888315628,8.979174988,15.713556229,35,local_max_drop,mp-769025,K2Mg2O3,Tetragonal,P4_32_12,96,0.0277894425,-2.244047649928572,False,3.2516,False,2.755786651076017,28,421.3246335191721,15.047308339970431,388.71611188944,0.9226047588118338,92.26047588118338
s-block,K-Mg-O,K,Mg,O,K2MgO2_755802_POSCAR,-0.1014048476586742,9.791461764,-0.15993644361937,-0.0585315959606957,8.703521568,13.327267401,35,local_max_drop,mp-755802,K2MgO2,Orthorhombic,Pbcn,60,0.0,-1.965248261399999,True,2.7608,False,2.645966906733719,20,337.6356191076174,16.88178095538087,336.93065150797287,0.9979120461238427,99.79120461238426
s-block,K-Rb-O,K,Rb,O,KRbO_756889_POSCAR,-0.0765062439209751,15.1072716695,-0.10449305325066,-0.0279868093296849,12.4412825514,21.7722444649,35,local_max_drop,mp-756889,KRbO,Tetragonal,I4/mmm,139,0.091884004166666,-1.091639200749999,False,0.0146,False,2.268898705538341,12,411.50273304316687,34.29189442026391,323.3900688229454,0.7858758711792605,78.58758711792605
s-block,K-Rb-S,K,Rb,S,KRbS_28760_POSCAR,-0.0990123655642354,8.2562585985,-0.13457882954997,-0.0355664639857346,7.2554999805,12.2592930705,35,local_max_drop,mp-28760,KRbS,Orthorhombic,Pnma,62,0.0080872775,-1.176483886583332,False,2.2214,False,2.657694592867013,12,391.45515258614347,32.62126271551195,337.9692201513477,0.8633663854430281,86.33663854430282
s-block,K-Sr-O,K,Sr,O,K2Sr2O3_756334_POSCAR,-0.1067479725891064,11.4558416,-0.14692248811594,-0.0401745155268335,10.0238614,17.54175745,35,local_max_drop,mp-756334,K2Sr2O3,Monoclinic,P2_1/c,14,0.05533240642857,-2.230971624928571,False,2.1927,False,3.121879415192686,14,320.6685426536332,22.904895903830944,271.62706035697585,0.8470648792337918,84.70648792337919
s-block,Li-Ba-O,Li,Ba,O,BaLi4O3_778878_POSCAR,-0.294433136649283,9.240105455,-0.3897634318003,-0.095330295151017,7.8812664175,13.3166225675,35,local_max_drop,mp-778878,BaLi4O3,Orthorhombic,Cmc2_1,36,0.086320239375,-2.165788872916667,False,3.5741,False,3.877759380429559,32,364.9973153811179,11.406166105659935,321.5226726393299,0.8808905136839342,88.08905136839343
