chemsys,source,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
V-Cr-O,VCrO3_754036_POSCAR,mp-754036,VCrO3,,,,,,,,,,20,198.72935489286684,9.936467744643341,119.45900200968907,0.6011140230092747,60.11140230092747
V-Cr-O,VCrO3_755281_POSCAR,mp-755281,VCrO3,,,,,,,,,,20,198.97723297808975,9.948861648904487,119.45900200968907,0.6003651785772055,60.036517857720554
V-Cr-O,VCrO3_757023_POSCAR,mp-757023,VCrO3,,,,,,,,,,20,199.08241379414346,9.954120689707173,119.45900200968907,0.6000479888354824,60.00479888354824
V-Cr-O,VCrO3_770778_POSCAR,mp-770778,VCrO3,,,,,,,,,,20,199.09235300221061,9.954617650110531,119.45900200968907,0.6000180328792571,60.00180328792572
V-Cr-O,VCrO3_770779_POSCAR,mp-770779,VCrO3,,,,,,,,,,20,199.00476313878045,9.950238156939022,119.45900200968907,0.6002821245357914,60.028212453579144
V-Cr-O,VCrO3_770843_POSCAR,mp-770843,VCrO3,,,,,,,,,,20,198.9786548667258,9.94893274333629,119.45900200968907,0.6003608884063554,60.036088840635536
V-Cr-O,VCrO3_770849_POSCAR,mp-770849,VCrO3,,,,,,,,,,20,198.97637083503733,9.948818541751866,119.45900200968907,0.6003677798944647,60.03677798944646
V-Cr-O,VCrO3_770855_POSCAR,mp-770855,VCrO3,,,,,,,,,,20,198.9488665806573,9.947443329032865,119.45900200968907,0.6004507794532136,60.04507794532136
V-Cr-S,V_Cr7S10_2_1216997_POSCAR,mp-1216997,V(Cr7S10)2,,,,,,,,,,35,591.4098714445931,16.897424898416947,269.47636372544,0.4556507707035901,45.56507707035901
V-Cr-S,V4_CrS2_5_1217039_POSCAR,mp-1217039,V4(CrS2)5,,,,,,,,,,19,286.31005115527853,15.068950060804132,164.7478540342524,0.5754176403150527,57.541764031505274
V-Cu-O,V12Cu2O29_772965_POSCAR,mp-772965,V12Cu2O29,,,,,,,,,,86,1071.7360262348782,12.46204681668463,468.44283031129095,0.4370878825049673,43.708788250496724
V-Cu-O,V16_CuO8_5_758314_POSCAR,mp-758314,V16(CuO8)5,,,,,,,,,,61,768.8767988555996,12.604537686157371,336.38042878183273,0.4374958761696323,43.74958761696323
V-Cu-O,V18Cu20O57_863399_POSCAR,mp-863399,V18Cu20O57,,,,,,,,,,95,1050.367637436329,11.0565014466982,531.3690568264013,0.5058886411650433,50.588864116504325
V-Cu-O,V30Cu34O95_1217808_POSCAR,mp-1217808,V30Cu34O95,,,,,,,,,,159,1760.338262833396,11.071309829140855,892.0378169971555,0.5067422755222931,50.67422755222931
V-Cu-O,V3CuO8_775644_POSCAR,mp-775644,V3CuO8,,,,,,,,,,48,566.3815164497398,11.799614926036247,257.10236330123564,0.4539384775704464,45.39384775704464
V-Cu-O,V4Cu3O10_1958773_POSCAR,mp-1958773,V4Cu3O10,,,,,,,,,,34,404.6886913810306,11.902608570030312,201.9095063949439,0.4989254967958519,49.892549679585194
V-Cu-O,V6CuO15_1216902_POSCAR,mp-1216902,V6CuO15,,,,,,,,,,44,562.761666355433,12.790037871714388,235.42567558436082,0.4183399290662932,41.83399290662932
V-Cu-O,V6CuO15_758210_POSCAR,mp-758210,V6CuO15,,,,,,,,,,44,558.0143070047412,12.682143341016847,235.42567558436082,0.42189899547210086,42.18989954721009
V-Cu-O,V8CuO20_773059_POSCAR,mp-773059,V8CuO20,,,,,,,,,,87,1117.609262472838,12.846083476699288,461.21726773899934,0.41268203765464817,41.26820376546482
