block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
d-block,Co-Nb-O,Co,Nb,O,Nb2Co4O9_2767524_POSCAR,-0.0665758439949456,6.4042538926,-0.25829525284638,-0.1917194088514343,5.8919135812,12.5523376295,35,local_max_drop,mp-2767524,Nb2Co4O9,,,,,,,,,,30,323.25551060470906,10.775183686823635,162.61600695863805,0.5030571842516616,50.305718425166155
d-block,Co-Nb-S,Co,Nb,S,Nb2CoS4_1210385_POSCAR,-0.1271699041378486,4.83013705,-0.30691201665837,-0.1797421125205213,4.16391125,8.16126605,35,local_max_drop,mp-1210385,Nb2CoS4,,,,,,,,,,28,443.96934945007825,15.856048194645652,258.91354592030285,0.5831788753908476,58.31788753908476
d-block,Co-Nb-S,Co,Nb,S,Nb2CoS4_1193022_POSCAR,-0.1183580524396086,4.85874845,-0.26435773847254,-0.1459996860329313,4.18857625,8.20960945,35,local_max_drop,mp-1193022,Nb2CoS4,,,,,,,,,,28,510.4941217736297,18.231932920486773,258.91354592030285,0.5071822277223279,50.71822277223279
d-block,Co-Nb-S,Co,Nb,S,Nb4CoS8_1094100_POSCAR,-0.1025377250296071,9.737567481,-0.2379823752428,-0.1354446502131928,8.394454725,16.453131261,35,local_max_drop,mp-1094100,Nb4CoS8,,,,,,,,,,26,468.887213020733,18.0341235777205,242.15523513092327,0.5164466601059043,51.644666010590434
d-block,Co-Nb-S,Co,Nb,S,Nb3CoS6_7116_POSCAR,-0.0816072052808933,8.4532816155,-0.18954458855755,-0.1079373832766566,7.2873117375,14.2831310055,35,local_max_drop,mp-7116,Nb3CoS6,,,,,,,,,,20,352.5636597480232,17.62818298740116,185.80600404553735,0.527014055215823,52.7014055215823
d-block,Co-Ni-O,Co,Ni,O,Co_NiO2_2_863417_POSCAR,-0.131213361331175,7.6388741,-0.25527866857715,-0.1240653072459749,6.75746555,14.39633965,35,local_max_drop,mp-863417,Co(NiO2)2,,,,,,,,,,28,281.2980125589943,10.046357591392653,116.67637192148868,0.41477851499935187,41.477851499935184
d-block,Co-Ni-O,Co,Ni,O,Co_NiO2_2_754168_POSCAR,-0.0693583822529112,6.4668875078,-0.13684533747057,-0.0674869552176587,5.9694346226,12.1875956877,35,local_max_drop,mp-754168,Co(NiO2)2,,,,,,,,,,14,134.01256943473106,9.572326388195076,58.33818596074427,0.43531876305943873,43.531876305943875
d-block,Co-Ni-O,Co,Ni,O,Co2NiO4_38683_POSCAR,-0.0648479358255631,6.5436637936,-0.12994979225175,-0.0651018564261868,5.7886256636,12.3322894572,35,local_max_drop,mp-38683,Co2NiO4,,,,,,,,,,14,138.0247935220176,9.858913823001258,59.12360087930254,0.4283549308108271,42.83549308108271
d-block,Co-Ni-O,Co,Ni,O,Co2NiO4_1153924_POSCAR,-0.0618310511817401,5.2908489545,-0.12406898027469,-0.0622379290929498,4.6803663829,9.9712153374,35,local_max_drop,mp-1153924,Co2NiO4,,,,,,,,,,14,135.31024799701865,9.66501771407276,59.12360087930254,0.4369484333559513,43.69484333559513
d-block,Co-Ni-O,Co,Ni,O,Co2NiO4_1096547_POSCAR,-0.061101280612783,6.4702239891,-0.12319460322923,-0.0620933226164469,5.7236596826,12.1938836717,35,local_max_drop,mp-1096547,Co2NiO4,,,,,,,,,,14,135.2905515810948,9.663610827221058,59.12360087930254,0.43701204694891893,43.70120469489189
