block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,metal
d-block,Ti-O,O,Ti3O5_1245031_POSCAR,-0.4212435977005029,15.7673411194,-0.67048845655028,-0.2492448588497771,14.6799382836,26.6413694776,35,local_max_drop,Ti
d-block,Fe-O,O,Fe38O39_705753_POSCAR,-0.4179007291083483,33.0161488675,-0.84818365298229,-0.4302829238739417,30.3748569581,64.7116517803,35,local_max_drop,Fe
d-block,Zr-S,S,Zr64S127_1096929_POSCAR,-0.4130512267468305,21.5147628169,-0.95637908727125,-0.5433278605244195,20.0309860709,36.3525302768,35,local_max_drop,Zr
d-block,Zr-S,S,Zr63S128_1024087_POSCAR,-0.4115384847435833,21.3522259505,-0.98618383364188,-0.5746453488982967,19.8796586436,36.0778990198,35,local_max_drop,Zr
d-block,Nb-S,S,Nb21S8_31381_POSCAR,-0.4079346343707893,4.8525851872,-0.63820988505848,-0.2302752506876906,4.1832630925,8.1991956612,35,local_max_drop,Nb
d-block,Ti-O,O,Ti10O11_684733_POSCAR,-0.4076150624070537,9.0425672833,-0.58911293109816,-0.1814978686911062,8.3966696202,15.8244927458,35,local_max_drop,Ti
d-block,Mn-O,O,Mn2O3_565203_POSCAR,-0.3904642848396677,12.4786779,-0.72994475268894,-0.3394804678492722,11.5187796,23.51750835,35,local_max_drop,Mn
d-block,Mn-O,O,Mn2O3_510604_POSCAR,-0.3882897864959043,12.7154629305,-0.71329783941133,-0.3250080529154256,11.7735767875,23.0762105035,35,local_max_drop,Mn
d-block,Mn-O,O,Mn2O3_1172875_POSCAR,-0.3809237315340661,12.4543497,-0.71924377535252,-0.3383200438184539,11.4963228,23.47165905,35,local_max_drop,Mn
d-block,Fe-O,O,Fe35O36_694910_POSCAR,-0.3771402646796714,10.981810028,-0.77319529632452,-0.3960550316448485,10.1032652258,21.5243476549,35,local_max_drop,Fe
d-block,Zr-S,S,Zr21S8_1193856_POSCAR,-0.3752555337196583,5.0801290269,-0.59480576701688,-0.2195502332972216,4.7297753009,8.5836662868,35,local_max_drop,Zr
d-block,Ti-S,S,Ti9S10_673637_POSCAR,-0.3698917692425229,11.95071599,-0.64774106561061,-0.277849296368087,11.0970934193,20.9137529825,35,local_max_drop,Ti
d-block,V-O,O,V25O32_685164_POSCAR,-0.3665499337152788,12.0841165345,-0.57588443914064,-0.2093345054253612,10.7893897629,21.1472039354,35,local_max_drop,V
d-block,Fe-O,O,Fe2O3_1456_POSCAR,-0.3663713199358547,11.0827808,-0.99164267450976,-0.6252713545739053,10.2302592,20.8867792,35,local_max_drop,Fe
d-block,Pd-O,O,Pd7O8_684657_POSCAR,-0.3659186590475132,7.23243375,-1.0339057598992,-0.6679871008516869,6.9431364,14.17557015,35,local_max_drop,Pd
d-block,Fe-O,O,Fe2O3_685153_POSCAR,-0.3623029846055554,11.0191717493,-0.99870686487447,-0.6364038802689146,10.1715431532,20.7669006044,35,local_max_drop,Fe
d-block,Co-O,O,CoO_1245089_POSCAR,-0.3565828424330174,12.6013833719,-0.70614761622615,-0.3495647737931325,11.5932727021,24.6987114089,35,local_max_drop,Co
d-block,Ti-O,O,Ti13O22_656852_POSCAR,-0.3550966903369376,11.0093718649,-0.53720568617587,-0.1821089958389323,10.2501048398,18.6020421166,35,local_max_drop,Ti
d-block,Sc-O,O,Sc16O15_759946_POSCAR,-0.3493941276164091,8.8020989185,-0.47935847648775,-0.1299643488713409,8.1950576138,14.8725119658,35,local_max_drop,Sc
d-block,Zr-O,O,Zr27O49_684977_POSCAR,-0.3419377176395782,5.2665725065,-0.63581794907297,-0.2938802314333917,4.9033606095,8.8986914765,35,local_max_drop,Zr
d-block,Ni-S,S,Ni9S8_1202035_POSCAR,-0.3366414857509834,12.4269911722,-0.70338415140536,-0.3667426656543766,11.0955278323,21.7472345513,35,local_max_drop,Ni
d-block,Nb-S,S,Nb11S12_684971_POSCAR,-0.3338526542147733,12.3614413043,-0.62660388622397,-0.2927512320091966,10.595521118,17.306017826,35,local_max_drop,Nb
d-block,Cu-S,S,Cu2S_581212_POSCAR,-0.3308447819725019,16.682157534,-1.2258802054789,-0.8950354235063981,14.8947835125,29.1937756845,35,local_max_drop,Cu
d-block,Co-O,O,CoO_1245304_POSCAR,-0.3275817646574399,12.8282520109,-0.67318304919288,-0.3456012845354401,11.80199185,25.1433739413,35,local_max_drop,Co
d-block,Co-O,O,CoO_1244939_POSCAR,-0.3274956693999747,13.4604787084,-0.67297930520125,-0.3454836358012753,11.9073465498,25.3678252582,35,local_max_drop,Co
d-block,Mn-O,O,Mn2O3_1204718_POSCAR,-0.3246782312700588,14.2502523635,-0.72567992911292,-0.4010016978428612,13.1946781144,25.8615691042,35,local_max_drop,Mn
d-block,Mn-O,O,Mn2O3_1203190_POSCAR,-0.3244483586930519,12.348482681,-0.72435308484506,-0.3999047261520081,11.4337802602,22.41020931,35,local_max_drop,Mn
d-block,V-O,O,V8O_714972_POSCAR,-0.3225506272064739,12.8817739,-0.44275366825966,-0.120203041053186,11.5491766,21.7657559,35,local_max_drop,V
d-block,Ti-O,O,Ti6O_882_POSCAR,-0.3139482101054585,7.14670649,-0.40377568948832,-0.0898274793828614,6.636227455,12.5067363575,35,local_max_drop,Ti
d-block,Tc-O,O,Tc2O7_27485_POSCAR,-0.3130755057089796,4.687697691,-0.37474705355392,-0.0616715478449404,8.27240769,13.511599227,35,local_max_drop,Tc
d-block,Ti-O,O,Ti6O_554098_POSCAR,-0.3129083109925228,7.147420504,-0.40259973004758,-0.0896914190550571,6.636890468,12.507985882,35,local_max_drop,Ti
d-block,Fe-O,O,Fe32O35_863766_POSCAR,-0.3125224517227894,3.8619247904,-0.66571042800882,-0.3531879762860305,3.5529708072,7.5693725893,35,local_max_drop,Fe
d-block,Ti-O,O,Ti3O_2591_POSCAR,-0.3106229432313659,7.192284764,-0.40500213268747,-0.094379189456104,6.678550138,12.586498337,35,local_max_drop,Ti
