block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent,metal
s-block,Ba-O,O,BaO6_1198787_POSCAR,-0.0722170747478375,8.93837025,-0.14972471016339,-0.0775076354155524,8.27626875,16.22148675,35,local_max_drop,mp-1198787,BaO6,Orthorhombic,Pbca,61,0.043514910357141,-0.894188341785715,False,0.0,True,3.249561202164395,56,953.8336944542034,17.03274454382506,390.8426433902839,0.409759736590066,40.975973659006605,Ba
s-block,Ba-S,S,Ba2S3_28978_POSCAR,-0.0584917790466334,8.3330830612,-0.089565271116548,-0.0310734920699145,7.1836922942,14.0800368965,35,local_max_drop,mp-28978,Ba2S3,Tetragonal,I4_1md,109,0.063863152999999,-1.9196869674999992,False,1.2985,False,4.10595871636164,10,299.9588137708004,29.995881377080043,195.6133609708708,0.6521340663799918,65.21340663799919,Ba
s-block,Be-O,O,BeO_1245060_POSCAR,-0.1682507219686706,14.2334907824,-0.35205329849016,-0.1838025765214893,11.9377664627,22.4980983335,35,local_max_drop,mp-1245060,BeO,Triclinic,P1,1,0.3269340063,-2.7759217962,False,4.2425,False,2.283228028698272,100,909.5173251643372,9.095173251643372,245.51169596685736,0.2699362498922126,26.993624989221267,Be
s-block,Ca-O,O,Ca2O3_1120811_POSCAR,-0.1641206222546675,13.027494002,-0.24638612284546,-0.0822655005907924,11.2904948017,21.2782402033,35,local_max_drop,mp-1120811,Ca2O3,Triclinic,P1,1,0.2142064745,-2.4321373745,False,0.196899999999999,False,2.62521308091353,40,648.496100381148,16.2124025095287,394.2837848089986,0.6079971561544653,60.79971561544652,Ca
s-block,Cs-O,O,Cs7O_561735_POSCAR,-0.0428886752085408,21.688850521,-0.147493495131,-0.1046048199224591,25.025596755,40.8751413665,35,local_max_drop,mp-561735,Cs7O,Hexagonal,P-6m2,187,0.010467804755746,-0.448905838239943,False,0.0,True,2.097981564019763,24,2247.0604911087016,93.62752046286256,1281.4554423373463,0.5702807945793551,57.02807945793551,Cs
s-block,Cs-S,S,Cs2S5_1193140_POSCAR,-0.0596028647838611,11.010901568,-0.12202010021021,-0.0624172354263488,9.978629546,16.860443026,35,local_max_drop,mp-1193140,Cs2S5,Orthorhombic,P2_12_12_1,19,0.0,-0.743681253794641,True,1.8661999999999992,False,3.046112503708791,28,929.2044401895766,33.18587286391345,583.7781694262981,0.6282558973859352,62.82558973859352,Cs
s-block,K-O,O,K2O_998915_POSCAR,-0.0522556268875159,7.154939481,-0.066231990450721,-0.0139763635632051,6.313181895,10.3115304285,35,local_max_drop,mp-998915,K2O,Orthorhombic,Pnnm,58,0.02955435,-1.204323686499999,False,0.6523000000000001,False,2.043060108305046,6,153.11946775886938,25.519911293144897,142.57259556325286,0.93111997873304,93.111997873304,K
s-block,K-S,S,KS3_1196514_POSCAR,-0.0662771560226026,9.1124341521,-0.16202748944575,-0.0957503334231473,8.1697685502,15.3968714984,35,local_max_drop,mp-1196514,KS3,Monoclinic,P2_1/c,14,0.0,-0.618411601796874,True,1.8888999999999991,False,1.990182734819924,32,903.0720895582564,28.22100279869551,396.7053076712247,0.4392842080473063,43.92842080473064,K
s-block,Li-O,O,Li2O2_558312_POSCAR,-0.0549232533226787,5.5047190275,-0.072363276247678,-0.0174400229249992,4.67067069,8.1736737075,35,local_max_drop,mp-558312,Li2O2,Hexagonal,P6_3/mmc,194,0.142724228749999,-1.507446007916666,False,1.6379,False,2.000892516139877,8,76.1528771822725,9.519109647784065,39.95516073705382,0.5246704026877519,52.46704026877519,Li
s-block,Li-S,S,Li2S_1125_POSCAR,-0.1329885722114362,5.686680645,-0.17614481557218,-0.0431562433607437,4.928456559,9.2882450535,35,local_max_drop,mp-1125,Li2S,Orthorhombic,Pnma,62,0.061509288333333,-1.441943999722222,False,3.895399999999999,False,1.785844636617404,12,170.8923316814056,14.241027640117132,89.67243108764892,0.5247305727844193,52.47305727844193,Li
s-block,Mg-O,O,MgO_1192043_POSCAR,-0.010811664488489,8.7888871721,-0.14947759524667,-0.1386659307581809,8.4959242664,14.3551823812,35,local_max_drop,mp-1192043,MgO,Orthorhombic,Ibam,72,0.092011632083333,-2.9462975379166663,False,3.195099999999999,False,2.966737168046806,24,270.7096464797826,11.279568603324272,155.3563811444012,0.5738856489401226,57.38856489401226,Mg
s-block,Mg-S,S,Mg149S_1185578_POSCAR,-1.617398561098014,21.3833625165,-2.4329696387693,-0.8155710776712861,18.2154569585,38.8068430855,35,local_max_drop,mp-1185578,Mg149S,Hexagonal,P-6m2,187,0.020655326666667,-0.001504465016665,False,0.0,True,1.8080709544474671,150,3355.397131552986,22.36931421035324,1754.422643591894,0.522865870955755,52.2865870955755,Mg
s-block,Na-O,O,Na2O_755072_POSCAR,-0.0539333665176588,8.499221248,-0.075820088572697,-0.0218867220550381,7.436818592,13.014432536,35,local_max_drop,mp-755072,Na2O,Orthorhombic,Pnnm,58,0.070141851666666,-1.355596834252872,False,1.0343,False,2.114311066787625,6,97.3541221495295,16.225687024921584,79.0515859718048,0.8120003984051829,81.20003984051829,Na
s-block,Na-S,S,NaS_409_POSCAR,-0.0649552554510592,10.595266248,-0.1241471750889,-0.0591919196378407,9.46005915,18.541715934,35,local_max_drop,mp-409,NaS,Hexagonal,P-62m,189,0.002286554999999,-1.001984056406249,False,0.8685,False,2.068232806991422,12,265.2136498066087,22.10113748388406,144.05888723645643,0.5431805163177039,54.3180516317704,Na
s-block,Rb-O,O,Rb2O_776922_POSCAR,-0.0622402467213465,12.567758266,-0.081529900866502,-0.0192896541451554,11.08919847,18.112357501,35,local_max_drop,mp-776922,Rb2O,Trigonal,P3,143,0.002575112222221,-1.130593261111111,False,0.1921,False,2.9755505188420552,9,312.96346891163074,34.77371876795897,271.2262098895388,0.8666385595506132,86.66385595506132,Rb
