block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
d-block,Co-O,O,CoO_1245089_POSCAR,-0.3565828424330174,12.6013833719,-0.70614761622615,-0.3495647737931325,11.5932727021,24.6987114089,35,local_max_drop,mp-1245089,CoO,Triclinic,P1,1,0.368803691000001,-0.9030274552499992,False,0.2662,False,4.86844442630118,80,1022.3265619836724,12.779082024795905,383.3366329362017,0.374964954634842,37.496495463484194
d-block,Co-O,O,CoO_1245304_POSCAR,-0.3275817646574399,12.8282520109,-0.67318304919288,-0.3456012845354401,11.80199185,25.1433739413,35,local_max_drop,mp-1245304,CoO,Triclinic,P1,1,0.384123679375001,-0.887707466874999,False,0.347099999999999,False,4.769569983452121,80,1043.5196621725745,13.043995777157182,383.3366329362017,0.3673496981725357,36.73496981725357
d-block,Co-O,O,CoO_1244939_POSCAR,-0.3274956693999747,13.4604787084,-0.67297930520125,-0.3454836358012753,11.9073465498,25.3678252582,35,local_max_drop,mp-1244939,CoO,Triclinic,P1,1,0.409406951625,-0.8624241946250011,False,0.258099999999999,False,4.987670439084296,80,997.8887166000145,12.473608957500181,383.3366329362017,0.384147677550958,38.4147677550958
d-block,Co-O,O,CoO_1244882_POSCAR,-0.3076260919169628,12.4927407614,-0.65537407466901,-0.3477479827520472,11.4933215005,24.4857718923,35,local_max_drop,mp-1244882,CoO,Triclinic,P1,1,0.401737901749999,-0.8700932445,False,0.2197,False,4.766298154811251,80,1044.2359859289354,13.052949824111693,383.3366329362017,0.3670977040646532,36.70977040646532
d-block,Co-O,O,Co29O40_705563_POSCAR,-0.2357211218030979,9.905846033,-0.54031480659263,-0.3045936847895321,9.1438578766,18.6687098314,35,local_max_drop,mp-705563,Co29O40,Triclinic,P1,1,0.095079775942028,-1.181368133913043,False,0.0,True,5.358234126387961,69,727.9768600684695,10.55038927635463,291.1659235946139,0.39996590491520356,39.99659049152036
d-block,Co-O,O,Co23O32_2740066_POSCAR,-0.2154522414443121,9.8910394103,-0.43595153022094,-0.2204992887766279,8.4257002384,17.9504048558,35,local_max_drop,mp-2740066,Co23O32,Tetragonal,I-42m,121,0.004434659181818,-1.332651985636364,False,0.0,True,6.004672964463483,55,516.4251589850538,9.389548345182797,231.25690779675315,0.4478033336935974,44.780333369359745
d-block,Co-O,O,Co23O32_705564_POSCAR,-0.2043510323864294,9.8040115447,-0.43332187480738,-0.2289708424209505,8.6727794434,18.4767909882,35,local_max_drop,mp-705564,Co23O32,Triclinic,P1,1,0.0,-1.272912193454546,True,0.0,True,5.523838474278383,55,561.3785057702239,10.206881923094981,231.25690779675315,0.41194471362857665,41.19447136285766
d-block,Co-O,O,Co21O40_850026_POSCAR,-0.1452414515153428,13.0868100095,-0.31046804622078,-0.1652265947054371,12.1174166754,23.7501366839,35,local_max_drop,mp-850026,Co21O40,Tetragonal,I-4,82,0.048658195807965,-1.049597354918032,False,0.0,True,4.834274586470409,61,644.9330543088015,10.572673021455762,224.13268043709567,0.3475285984175628,34.752859841756276
d-block,Co-O,O,CoO2_1245099_POSCAR,-0.1288889248171587,14.4740555025,-0.36109991202129,-0.2322109872041313,12.8658271133,26.2677303564,35,local_max_drop,mp-1245099,CoO2,Triclinic,P1,1,0.732110692,-0.340321968,False,0.134199999999999,False,3.943541119999345,90,1148.684333480473,12.763159260894145,323.6302875636088,0.28173996817996155,28.173996817996155
d-block,Co-O,O,CoO2_1244948_POSCAR,-0.1216083151838175,12.7197680699,-0.38157742180683,-0.2599691066230125,11.7413243722,23.9718705932,35,local_max_drop,mp-1244948,CoO2,Triclinic,P1,1,0.697332822444446,-0.375099837555555,False,0.0128,False,4.066161734206108,90,1114.0442025256768,12.378268916951965,323.6302875636088,0.2905004009983614,29.05004009983614
d-block,Co-O,O,CoO2_1245119_POSCAR,-0.1159425695362483,13.3305359192,-0.34326266199667,-0.2273200924604216,12.3051100792,25.1229330784,35,local_max_drop,mp-1245119,CoO2,Triclinic,P1,1,0.588426267000001,-0.484006393,False,0.02,False,3.786956522244683,90,1196.1805944404016,13.29089549378224,323.6302875636088,0.27055303276760634,27.055303276760633
d-block,Co-O,O,CoO2_1245011_POSCAR,-0.1087238499535532,13.4968241509,-0.34506697884322,-0.2363431288896668,12.4586069085,25.4363224383,35,local_max_drop,mp-1245011,CoO2,Triclinic,P1,1,0.697195838555557,-0.375236821444444,False,0.0235,False,3.832944308343416,90,1181.8287822322786,13.131430913691984,323.6302875636088,0.27383855633666737,27.383855633666737
d-block,Co-O,O,Co15O28_766681_POSCAR,-0.0986816752283034,9.8993691099,-0.21732010699529,-0.1186384317669865,9.1660825092,17.965521718,35,local_max_drop,mp-766681,Co15O28,Triclinic,P-1,2,0.023970381727576,-1.08509475116279,False,0.4962,False,4.695986603605816,43,470.99936198971426,10.953473534644518,159.40662292437395,0.3384433945960527,33.84433945960527
d-block,Co-O,O,Co5O7_1046082_POSCAR,-0.0961217795588812,6.680741665,-0.18355617776243,-0.0874343982035487,5.652935255,12.5906285225,35,local_max_drop,mp-1046082,Co5O7,Orthorhombic,Cmcm,63,0.407637924285714,-0.861694277499999,False,0.0,True,4.936604523060536,24,273.57985034954805,11.399160431231168,100.65119994891162,0.3679042876158876,36.790428761588764
d-block,Co-O,O,CoO2_1244867_POSCAR,-0.0959124657646864,14.6982387677,-0.32244037436292,-0.2265279085982336,13.0651011268,26.6745814673,35,local_max_drop,mp-1244867,CoO2,Triclinic,P1,1,0.634333327555556,-0.438099332444445,False,0.0,True,3.723904642708839,90,1216.4339153253622,13.515932392504025,323.6302875636088,0.2660483923428316,26.604839234283162
d-block,Co-O,O,CoO2_1349907_POSCAR,-0.0894724953844861,6.6778999083,-0.22520604456196,-0.1357335491774738,6.1832406558,12.1191516854,35,local_max_drop,mp-1349907,CoO2,Monoclinic,Cm,8,0.181285593750001,-0.8911470662500001,False,0.0,True,4.675051004355778,48,516.7725610994554,10.76609502290532,172.60282003392473,0.3340015183211449,33.40015183211449
d-block,Co-O,O,Co9O13_1343966_POSCAR,-0.0822724478902748,6.6116053468,-0.16651703922022,-0.0842445913299451,6.1030203202,12.4603331537,35,local_max_drop,mp-1343966,Co9O13,Monoclinic,C2/m,12,0.247499506396104,-1.003932737045455,False,0.0,True,4.962319998199503,22,247.08745665948916,11.231248029976781,91.06778412550658,0.3685649824426618,36.85649824426618
